airport_code,date,hour,temperature,precipitation,wind_speed,weather_code
ATL,2026-01-01,0,6.7,0.0,12.1,0
ATL,2026-01-01,1,6.1,0.0,12.1,1
ATL,2026-01-01,2,5.5,0.0,13.0,0
ATL,2026-01-01,3,5.0,0.0,14.1,0
ATL,2026-01-01,4,4.4,0.0,14.1,0
ATL,2026-01-01,5,4.0,0.0,14.1,0
ATL,2026-01-01,6,3.0,0.0,13.7,0
ATL,2026-01-01,7,2.6,0.0,12.8,0
ATL,2026-01-01,8,2.6,0.0,13.4,0
ATL,2026-01-01,9,2.4,0.0,13.3,0
ATL,2026-01-01,10,2.3,0.0,12.1,0
ATL,2026-01-01,11,2.2,0.0,10.9,0
ATL,2026-01-01,12,3.1,0.0,13.3,0
ATL,2026-01-01,13,2.7,0.0,12.6,0
ATL,2026-01-01,14,4.3,0.0,11.6,0
ATL,2026-01-01,15,6.8,0.0,9.3,0
ATL,2026-01-01,16,9.5,0.0,8.8,0
ATL,2026-01-01,17,11.8,0.0,9.2,0
ATL,2026-01-01,18,14.3,0.0,11.3,0
ATL,2026-01-01,19,15.6,0.0,11.0,0
ATL,2026-01-01,20,16.2,0.0,12.3,0
ATL,2026-01-01,21,16.2,0.0,13.1,0
ATL,2026-01-01,22,15.2,0.0,10.8,0
ATL,2026-01-01,23,12.9,0.0,10.1,0
ATL,2026-01-02,0,11.7,0.0,11.2,1
ATL,2026-01-02,1,10.9,0.0,13.3,2
ATL,2026-01-02,2,10.2,0.0,14.7,2
ATL,2026-01-02,3,9.5,0.0,14.1,2
ATL,2026-01-02,4,9.0,0.0,14.0,3
ATL,2026-01-02,5,8.6,0.0,13.7,3
ATL,2026-01-02,6,7.8,0.0,13.5,3
ATL,2026-01-02,7,7.4,0.0,13.5,3
ATL,2026-01-02,8,7.4,0.0,13.7,3
ATL,2026-01-02,9,7.2,0.0,13.7,3
ATL,2026-01-02,10,7.3,0.0,13.7,3
ATL,2026-01-02,11,7.3,0.0,13.2,3
ATL,2026-01-02,12,7.0,0.0,12.6,3
ATL,2026-01-02,13,7.1,0.0,11.8,3
ATL,2026-01-02,14,8.4,0.0,11.5,3
ATL,2026-01-02,15,10.4,0.0,8.8,3
ATL,2026-01-02,16,12.6,0.0,9.4,3
ATL,2026-01-02,17,14.3,0.0,10.3,3
ATL,2026-01-02,18,15.3,0.0,9.5,3
ATL,2026-01-02,19,15.3,0.0,8.9,3
ATL,2026-01-02,20,15.2,0.0,9.9,3
ATL,2026-01-02,21,15.3,0.0,9.6,2
ATL,2026-01-02,22,14.3,0.3,7.8,51
ATL,2026-01-02,23,13.1,0.0,8.4,3
ATL,2026-01-03,0,13.1,0.0,8.8,3
ATL,2026-01-03,1,12.9,0.5,4.4,53
ATL,2026-01-03,2,12.1,1.3,4.1,61
ATL,2026-01-03,3,11.7,3.3,6.2,63
ATL,2026-01-03,4,11.5,2.1,9.4,61
ATL,2026-01-03,5,11.2,0.8,10.6,53
ATL,2026-01-03,6,11.0,1.4,9.7,61
ATL,2026-01-03,7,10.9,1.1,8.2,55
ATL,2026-01-03,8,10.7,1.4,9.2,61
ATL,2026-01-03,9,10.7,0.2,10.1,51
ATL,2026-01-03,10,10.6,0.0,9.4,3
ATL,2026-01-03,11,10.6,0.0,8.4,3
ATL,2026-01-03,12,10.3,0.0,6.8,3
ATL,2026-01-03,13,10.4,0.0,5.5,3
ATL,2026-01-03,14,10.7,0.2,7.8,51
ATL,2026-01-03,15,11.2,0.0,8.2,3
ATL,2026-01-03,16,12.1,0.0,8.9,3
ATL,2026-01-03,17,12.8,0.0,9.3,3
