iata_code,airport_name,city,country,latitude,longitude,timezone
PPG,Pago Pago International Airport,Pago Pago,American Samoa,-14.3310003281,-170.710006714,-11
SPN,Saipan International Airport,Saipan,Northern Mariana Islands,15.119,145.729004,10
GUM,Antonio B. Won Pat International Airport,Agana,Guam,13.4834003448,144.796005249,10
STT,Cyril E. King Airport,St. Thomas,Virgin Islands,18.337299346923828,-64.97339630126953,-4
STX,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,17.701900482177734,-64.79859924316406,-4
BQN,Rafael Hernandez Airport,Aguadilla,Puerto Rico,18.49489974975586,-67.12940216064453,-4
PSE,Mercedita Airport,Ponce,Puerto Rico,18.00830078125,-66.56300354003906,-4
SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,18.4393997192,-66.0018005371,-4
ITO,Hilo International Airport,Hilo,United States,19.721399307250977,-155.04800415039062,-10
FSM,Fort Smith Regional Airport,Fort Smith,United States,35.33660125732422,-94.36740112304688,-6
GFK,Grand Forks International Airport,Grand Forks,United States,47.949299,-97.176102,-6
PRC,Ernest A. Love Field,Prescott,United States,34.65449905,-112.4199982,-7
TTN,Trenton Mercer Airport,Trenton,United States,40.27669906616211,-74.8134994506836,-5
BOS,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,-5
OAK,Metropolitan Oakland International Airport,Oakland,United States,37.721298,-122.221001,-8
OMA,Eppley Airfield,Omaha,United States,41.3032,-95.894096,-6
OGG,Kahului Airport,Kahului,United States,20.8986,-156.429993,-10
ICT,Wichita Eisenhower National Airport,Wichita,United States,37.649899,-97.433098,-6
MCI,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,-6
MSN,Dane County Regional Truax Field,Madison,United States,43.13990020751953,-89.3375015258789,-6
DLG,Dillingham Airport,Dillingham,United States,59.04470062,-158.5050049,-9
PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429946899414,-112.01200103759766,-7
BGR,Bangor International Airport,Bangor,United States,44.80739974975586,-68.8281021118164,-5
GGG,East Texas Regional Airport,Longview,United States,32.38399887084961,-94.71150207519533,-6
GEG,Spokane International Airport,Spokane,United States,47.61989974975586,-117.53399658203124,-8
SFO,San Francisco International Airport,San Francisco,United States,37.61899948120117,-122.375,-8
GNV,Gainesville Regional Airport,Gainesville,United States,29.6900997162,-82.2717971802,-5
MEM,Memphis International Airport,Memphis,United States,35.04240036010742,-89.97669982910156,-6
LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8
CLE,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,-5
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,39.0488014221,-84.6678009033,-5
JNU,Juneau International Airport,Juneau,United States,58.35499954223633,-134.5760040283203,-9
LFT,Lafayette Regional Airport,Lafayette,United States,30.20529938,-91.98760223,-6
EWR,Newark Liberty International Airport,Newark,United States,40.692501068115234,-74.168701171875,-5
BOI,Boise Air Terminal/Gowen Field,Boise,United States,43.5644,-116.223,-7
GCK,Garden City Regional Airport,Garden City,United States,37.9275016785,-100.723999023,-6
MOT,Minot International Airport,Minot,United States,48.2593994140625,-101.27999877929688,-6
DAL,Dallas Love Field,Dallas,United States,32.847099,-96.851799,-6
HLN,Helena Regional Airport,Helena,United States,46.6068000793457,-111.98300170898438,-7
LCH,Lake Charles Regional Airport,Lake Charles,United States,30.126100540161133,-93.22329711914062,-6
KOA,Ellison Onizuka Kona International At Keahole Airport,Kona,United States,19.738783,-156.045603,-10
MYR,Myrtle Beach International Airport,Myrtle Beach,United States,33.6796989441,-78.9282989502,-5
DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5
ACY,Atlantic City International Airport,Atlantic City,United States,39.45759963989258,-74.57720184326172,-5
PQI,Northern Maine Regional Airport at Presque Isle,Presque Isle,United States,46.68899918,-68.0447998,-5
ADQ,Kodiak Airport,Kodiak,United States,57.75,-152.4940033,-9
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599,-80.152702,-5
INL,Falls International Airport,International Falls,United States,48.566200256347656,-93.4030990600586,-6
SLC,Salt Lake City International Airport,Salt Lake City,United States,40.78839874267578,-111.97799682617188,-7
MDT,Harrisburg International Airport,Harrisburg,United States,40.1935005188,-76.7633972168,-5
LNK,Lincoln Airport,Lincoln,United States,40.85100173950195,-96.75920104980467,-6
LAN,Capital City Airport,Lansing,United States,42.77870178222656,-84.58740234375,-5
IAH,George Bush Intercontinental Houston Airport,Houston,United States,29.984399795532227,-95.34140014648438,-6
BFL,Meadows Field,Bakersfield,United States,35.43360138,-119.0569992,-8
ELP,El Paso International Airport,El Paso,United States,31.80719948,-106.3779984,-7
HRL,Valley International Airport,Harlingen,United States,26.228500366210938,-97.65440368652344,-6
CAE,Columbia Metropolitan Airport,Columbia,United States,33.93880081176758,-81.11949920654297,-5
PNS,Pensacola Regional Airport,Pensacola,United States,30.473400115967,-87.186599731445,-6
HOU,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,-6
PIT,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,-5
BRW,Wiley Post Will Rogers Memorial Airport,Barrow,United States,71.285402,-156.766008,-9
MIA,Miami International Airport,Miami,United States,25.79319953918457,-80.29060363769531,-5
SEA,Seattle Tacoma International Airport,Seattle,United States,47.449001,-122.308998,-8
CHA,Lovell Field,Chattanooga,United States,35.035301208496094,-85.20379638671875,-5
JAN,Jackson-Medgar Wiley Evers International Airport,Jackson,United States,32.3111991882,-90.0758972168,-6
LGB,Long Beach /Daugherty Field/ Airport,Long Beach,United States,33.81769943,-118.1520004,-8
IND,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,-5
HPN,Westchester County Airport,White Plains,United States,41.06700134277344,-73.70760345458984,-5
YUM,Yuma MCAS/Yuma International Airport,Yuma,United States,32.65660095,-114.6060028,-7
DLH,Duluth International Airport,Duluth,United States,46.8420982361,-92.1936035156,-6
BET,Bethel Airport,Bethel,United States,60.77980042,-161.8379974,-9
LIH,Lihue Airport,Lihue,United States,21.97599983215332,-159.33900451660156,-10
RIC,Richmond International Airport,Richmond,United States,37.50519943237305,-77.3197021484375,-5
SHV,Shreveport Regional Airport,Shreveport,United States,32.446602,-93.8256,-6
CDV,Merle K (Mudhole) Smith Airport,Cordova,United States,60.4917984,-145.4779968,-9
ORF,Norfolk International Airport,Norfolk,United States,36.89459991455078,-76.20120239257812,-5
BPT,Southeast Texas Regional Airport,Beaumont,United States,29.9507999420166,-94.02069854736328,-6
SAV,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266,-5
OME,Nome Airport,Nome,United States,64.51219940185547,-165.44500732421875,-9
PIE,St Petersburg Clearwater International Airport,St. Petersburg,United States,27.91020012,-82.68740082,-5
SCC,Deadhorse Airport,Deadhorse,United States,70.19470215,-148.4649963,-9
SAT,San Antonio International Airport,San Antonio,United States,29.533700942993164,-98.46980285644533,-6
ROC,Greater Rochester International Airport,Rochester,United States,43.118900299072266,-77.67240142822266,-5
RDU,Raleigh Durham International Airport,Raleigh-durham,United States,35.87760162353516,-78.7874984741211,-5
DAY,James M Cox Dayton International Airport,Dayton,United States,39.90240097045898,-84.21939849853516,-5
IAG,Niagara Falls International Airport,Niagara Falls,United States,43.1072998046875,-78.94619750976562,-5
PHF,Newport News Williamsburg International Airport,Newport News,United States,37.13190079,-76.49299622,-5
